"txid","refid","time","type","subtype","aclass","asset","amount","fee","balance"
"L2LODR-PVBOY-NOEM2W","FTU9DzO-U5pErsFxlLBX6phNO4fMiG","2021-02-08 18:05:18","deposit","","currency","EUR.HOLD",300.0000,11.5000,288.5000
"LOYAWM-MRIOJ-MET6ZN","FTZmSRw-u8uIc0jj5E6AanAdAGLSyu","2021-02-08 19:13:19","deposit","","currency","EUR.HOLD",-300.0000,-11.5000,0.0000
"LEO4KZ-3J7RQ-L2PZ7A","FTexOQ2-0UPheC5e8khkroyYEJPs7s","2021-02-09 16:09:43","deposit","","currency","EUR.HOLD",300.0000,11.5000,288.5000
"LKYZ3D-CI26O-IFI7HF","TS3APBH-GCOEX-QWTIJS","2021-02-09 16:09:46","spend","","currency","EUR.HOLD",-288.5000,0,0.0000
"L7TLNN-F6OVT-JG4RUO","TS3APBH-GCOEX-QWTIJS","2021-02-09 16:09:46","receive","","currency","DOGE",4750.44000000,0,4750.44000001
"L32MG6-VGQS6-IBWW26","FTRJMOm-OWH3RhXPYNVULAUB5uAlzj","2021-02-10 17:38:06","deposit","","currency","EUR.HOLD",50.0000,2.1300,47.8700
"LVVJJM-JUKXA-KZEEME","TSXPW43-YHFLI-DTGZWT","2021-02-10 17:38:08","spend","","currency","EUR.HOLD",-47.8700,0,0.0000
"LTI2YJ-QOFXD-NGEF4S","TSXPW43-YHFLI-DTGZWT","2021-02-10 17:38:08","receive","","currency","SC",5317.0869800000,0,5317.0869800000
"LK6GZ7-SM2FX-2R2RZ2","STZ3KUL-LBFPY-6UR42E","2021-02-11 02:13:58","staking","","currency","XTZ.S",0.00881300,0,19.51859400
"L5C566-PR5TK-TYV3M4","FTUz2Ji-v8BuYp9wnpk5KXBin4X8VN","2021-02-12 02:49:21","deposit","","currency","EUR.HOLD",300.0000,11.5000,288.5000
"LNQLEX-RZFT5-UFDUTE","TSIKFBN-XNQDR-LZFAHG","2021-02-12 02:49:25","spend","","currency","EUR.HOLD",-288.5000,0,0.0000
"L6CROC-GI3YR-P3SXWO","TSIKFBN-XNQDR-LZFAHG","2021-02-12 02:49:25","receive","","currency","DOGE",5156.96000000,0,9907.40000001
"LOI3OZ-H3EPH-GJK3OG","ST2CRNP-OB5SA-QM42TB","2021-02-15 02:13:41","staking","","currency","XTZ.S",0.01175600,0,19.53035000
"LVJB4C-PICRL-BNPE5T","FTMP5dv-SK3AcXbe3r20KkyBMcgijy","2021-02-16 00:42:58","transfer","stakingfromspot","currency","ETH2.S",0.0172100000,0,0.0172100000
"LLWUJH-M7SCE-U44VQC","STNPQPW-FUIN5-JNATMA","2021-02-18 02:17:13","staking","","currency","XTZ.S",0.00882200,0,19.53917200
"LAUWET-45SB2-36V6PC","STAF6R5-S75YB-ZZOKGK","2021-02-21 02:18:14","staking","","currency","ETH2",0.0000188540,0,0.0000188540
"LZUHQW-K7N2G-EGYIVZ","FTHcWBj-ERD3Bx3hCvILNVNdk6V0qp","2021-02-21 22:38:46","deposit","","currency","EUR.HOLD",1000.0000,37.7500,962.2500
"LAPL67-P7NJV-EUEB7I","TSFN35U-KLOVK-IBGDO5","2021-02-21 22:38:48","spend","","currency","EUR.HOLD",-962.2500,0,0.0000
"LTRGMU-HGPIZ-WKDPEZ","TSFN35U-KLOVK-IBGDO5","2021-02-21 22:38:48","receive","","currency","BTC",0.0201284000,0,0.0201284000
"LRZ2LK-BTDBO-5SUQAC","ST4IVYL-EQK7T-GY65QY","2021-02-22 02:19:13","staking","","currency","XTZ.S",0.01176800,0,19.55094000
"L7FAS6-WDNPR-HEHMTL","STH2NPW-BRJQD-UKCTJV","2021-02-25 02:22:01","staking","","currency","XTZ.S",0.00883100,0,19.55977100
"LNSHCH-Z2QOE-SDI4SN","STUO3NB-4KETF-TAOR62","2021-02-28 01:44:01","staking","","currency","ETH2",0.0000259240,0,0.0000447780
"L3KB7Y-KD4SQ-QEIMFE","STEEZEA-EK4RE-7Z2FVS","2021-03-01 02:23:12","staking","","currency","XTZ.S",0.01178100,0,19.57155200
"LNHAPR-EZBCO-BN5TFA","STQGAXE-XYHLO-H7XURJ","2021-03-04 02:26:08","staking","","currency","XTZ.S",0.00884100,0,19.58039300
"LYVSBY-5KEBD-VNPBXA","STEUMVI-MDVJ6-PXJS46","2021-03-07 01:46:02","staking","","currency","ETH2",0.0000251040,0,0.0000698820
"LKCJR7-3AKYA-IT6VYP","STO5VAH-JAKOM-YQMJDX","2021-03-08 02:27:42","staking","","currency","XTZ.S",0.01179300,0,19.59218600
"LZ775F-BM5YS-WHED6Q","STW75B5-HJXW4-XE4L26","2021-03-11 02:29:55","staking","","currency","XTZ.S",0.00885000,0,19.60103600
"LW2BIY-KS5CO-43NGDP","STSO4RR-QV36G-TJARSQ","2021-03-14 01:47:38","staking","","currency","ETH2",0.0000241120,0,0.0000939940
"LSK4HU-JU2NE-OUPFVJ","STTKZXG-BMV4R-LUBGKA","2021-03-15 02:31:34","staking","","currency","XTZ.S",0.01180600,0,19.61284200
"LL2D7R-GF7G7-6ZQBH5","ST4PBGM-3632B-I44USL","2021-03-18 02:33:56","staking","","currency","XTZ.S",0.00885900,0,19.62170100
"L5AADK-T2377-IA62IT","STQR25P-DVHHT-5G6K5P","2021-03-21 01:49:17","staking","","currency","ETH2",0.0000238750,0,0.0001178690
"LQ7LAH-7VITI-WRTHRT","STDOOOJ-XZI4L-UZ6NGA","2021-03-22 02:34:08","staking","","currency","XTZ.S",0.01181800,0,19.63351900
"LHGNFC-M7WUW-XMDOJT","STGOFKC-MFT3G-IWBL7V","2021-03-25 13:15:26","staking","","currency","XTZ.S",0.01026900,0,19.64378800
"L7TJDQ-TXBEU-REPK4D","STWA3CK-32CKG-47UUGY","2021-03-28 01:49:44","staking","","currency","ETH2",0.0000238300,0,0.0001416990
"LSZBPF-QJDMC-JIO4N5","STSG2GC-EZRKC-FYQTV2","2021-03-29 01:54:03","staking","","currency","XTZ.S",0.01043000,0,19.65421800
"L5D2HN-YBMSE-KYK2A3","STCIG5H-PX3V5-T6KPQO","2021-04-01 01:53:41","staking","","currency","XTZ.S",0.00887800,0,19.66309600
"LIWLOM-Q6UMP-QOBMTF","STFELOJ-SOBDQ-YX3SWH","2021-04-04 01:50:38","staking","","currency","ETH2",0.0000236540,0,0.0001653530
"LADIGQ-IOQRS-P4DO3L","STRN3HV-2S3QK-KJCKKY","2021-04-05 01:56:02","staking","","currency","XTZ.S",0.01184300,0,19.67493900
"LUGFP4-YILPL-PP6FQ7","STT6ZJW-7NRWE-JJ6OXU","2021-04-08 01:55:36","staking","","currency","XTZ.S",0.00888800,0,19.68382700
"LZCCNZ-JB5EV-Y5ZPLG","FTSToK6-KZT7sG3sbaQYli4B4zsB9P","2021-04-09 18:44:28","deposit","","currency","EUR.HOLD",100.0000,4.0000,96.0000
"LUEBCV-5HPS6-NLN2YW","TSB5YXU-JRXUK-DN3RQB","2021-04-09 18:44:29","spend","","currency","EUR.HOLD",-94.5800,1.4200,0.0000
"LNJYFN-JUUJV-OWVLXU","TSB5YXU-JRXUK-DN3RQB","2021-04-09 18:44:29","receive","","currency","GRT",63.9801900000,0,63.9801900000
"LYMTDM-DY4JS-V2HMBZ","FTboNUW-bwScF7gaGwvglPjAbVWei0","2021-04-10 09:42:15","deposit","","currency","EUR.HOLD",100.0000,4.0000,96.0000
"LWFU3R-MJXO4-7KNPI2","TSCJJ6U-WMTZ4-447TKI","2021-04-10 09:42:15","spend","","currency","EUR.HOLD",-94.5800,1.4200,0.0000
"LGCVRG-ZURZB-V73N4R","TSCJJ6U-WMTZ4-447TKI","2021-04-10 09:42:15","receive","","currency","XTZ",17.14360700,0,17.14360700
"LIHUN6-7G575-KLWTKM","FTRBsn6-DCYLjPNZDmOB5SNMPMbCBy","2021-04-10 09:45:52","transfer","spottostaking","currency","XTZ",-17.14360700,0,0.00000000
"LSUQY3-ZRJXZ-5ZWJQC","FTPl165-qD8b85ebOVUUSMVYVoVAgV","2021-04-10 09:46:01","transfer","stakingfromspot","currency","XTZ.S",17.14360700,0,36.82743400
"LLO655-6KAWA-P76ILK","STOXPWO-RTSMB-DKS3D3","2021-04-11 01:52:24","staking","","currency","ETH2",0.0000229710,0,0.0001883240
"LBTR5U-MG6ES-OP7TPC","STALHIE-OFKND-IPFHKZ","2021-04-12 01:57:05","staking","","currency","XTZ.S",0.01607600,0,36.84351000
"LXHHGR-5VDBP-EPXQGI","ST5WXEH-VPACZ-EORED5","2021-04-15 01:57:24","staking","","currency","XTZ.S",0.01664300,0,36.86015300
"LSWV3H-JDDEM-KMFS6X","FTItWnC-oOS3W59KshzwGFJcAXs8kc","2021-04-16 17:01:09","deposit","","currency","EUR.HOLD",200.0000,7.7500,192.2500
"LT2YJI-LBU4P-TQGEHE","FTkGN4V-0Pd7j9ARVbDYHtfdrMeHVy","2021-04-16 17:01:38","deposit","","currency","EUR.HOLD",200.0000,7.7500,384.5000
"LQZXFJ-WVKY7-XRBC3G","TSGCCRR-T7FMG-RVDFLT","2021-04-16 17:01:39","spend","","currency","EUR.HOLD",-189.4100,2.8400,192.2500
"LF4U2C-7LSRP-L7KVCA","TSGCCRR-T7FMG-RVDFLT","2021-04-16 17:01:39","receive","","currency","SC",5686.2463800000,0,11003.3333600000
"LOHDYD-CNIAI-BVUL5P","FTf18ww-kw3S6KLReRWgp5uUOV3iy6","2021-04-16 17:19:51","deposit","","currency","EUR.HOLD",-200.0000,-7.7500,0.0000
"LZS42Q-NDJYV-MGO6DZ","STR33ZU-FZG6S-O6MY7P","2021-04-18 01:53:08","staking","","currency","ETH2",0.0000233550,0,0.0002116790
"LNQKDR-36S6K-ELK3XI","ST3EA5T-7ZVXA-YTYPA6","2021-04-19 01:58:47","staking","","currency","XTZ.S",0.02220100,0,36.88235400
"LLU4LD-NXRMU-M24YRV","STLRDYX-WDGB2-EAK5IO","2021-04-22 01:58:48","staking","","currency","XTZ.S",0.01666100,0,36.89901500
"LOOFCU-O62IO-7VOSKJ","FTS6w2V-pd7kxuN4LaUsS73XNI5cI1","2021-04-24 10:28:51","deposit","","currency","EUR.HOLD",300.0000,11.5000,288.5000
"LEXQFN-Z5BDK-HDSF7C","TSBWH7S-6LQCG-UY64V4","2021-04-24 10:28:51","spend","","currency","EUR.HOLD",-284.2400,4.2600,0.0000
"LE7LXY-ZXQON-MISK5M","TSBWH7S-6LQCG-UY64V4","2021-04-24 10:28:51","receive","","currency","XRP",312.76706000,0,363.38267000
"LN4CMP-HNQIU-7GV67T","STSCD2H-QN7SQ-BAS4CX","2021-04-25 01:54:27","staking","","currency","ETH2",0.0000232810,0,0.0002349600
"LRUUYG-SSDPK-OVCU4J","STZNEMO-DV3RU-CSL5HT","2021-04-26 02:01:22","staking","","currency","XTZ.S",0.02222500,0,36.92124000
"L5IWC6-V7LUA-KYUMYP","STQSVYB-OXG73-EPCR2H","2021-04-29 01:59:06","staking","","currency","XTZ.S",0.01667800,0,36.93791800
"LJLFA2-MUODT-HCSU4U","TSSAXQ5-AHPKW-3NZ7G3","2021-04-29 11:49:12","spend","","currency","BTC",-0.0198200000,0.0003000000,0.0000084000
"LDTPIJ-HRWQ2-OAIOFI","TSSAXQ5-AHPKW-3NZ7G3","2021-04-29 11:49:12","receive","","currency","XRP",765.05828000,0,1128.44095000
"L67NMI-NPCNO-723ADJ","TSTIK6C-PWSTK-YIMDDE","2021-04-29 21:21:28","spend","","currency","DOGE",-9907.40000000,0,0.00000001
"LXMHVH-MF7UZ-A6IIQK","TSTIK6C-PWSTK-YIMDDE","2021-04-29 21:21:28","receive","","currency","EUR",2501.4500,36.9700,2464.9716
"LPMW46-3KA4Q-WZSMBK","TSQVEVY-BFEE4-S7PAFH","2021-04-29 21:23:52","spend","","currency","EUR",-2277.8600,34.1700,152.9416
"LGELTG-4GTGU-W3OWHD","TSQVEVY-BFEE4-S7PAFH","2021-04-29 21:23:52","receive","","currency","XRP",2000.00000000,0,3128.44095000
"L5XGCW-ZF7WL-YUGCNN","FTWNXxZ-PIstADco6uHN9xUjND6RzH","2021-04-30 17:12:04","withdrawal","","currency","XRP",-3128.42095000,0.02000000,0.00000000
"LYJZAV-AAX5Y-2RMHNN","TDMDYN-FWZEC-TR72KM","2021-05-01 07:23:56","trade","tradespot","currency","EUR",-152.1588,0.3956,0.3872
"LFX63L-GI4KW-XOOZSJ","TDMDYN-FWZEC-TR72KM","2021-05-01 07:23:56","trade","tradespot","currency","DOGE",505.77709482,0,505.77709483
"LVTJB3-XJJBK-X43CCK","ST7VR4E-MRG42-U6B2FJ","2021-05-02 01:54:33","staking","","currency","ETH2",0.0000226580,0,0.0002576180
"LEXUQG-HYLMU-N6RBO2","STK2W6O-ML4OS-APM55K","2021-05-03 02:01:51","staking","","currency","XTZ.S",0.02224800,0,36.96016600
"LTY4PU-ODSDD-YAJ474","TSPBHPV-HOLQM-N554VD","2021-05-04 11:04:01","spend","","currency","LTC",-0.6348500000,0,0.0000000000
"LBLDTQ-OL4EQ-FYSLUR","TSPBHPV-HOLQM-N554VD","2021-05-04 11:04:01","receive","","currency","USDT",201.01280000,2.97070000,198.04210000
"LSCZAV-4SEE5-XZUS2N","TSN3OIN-WGMKR-FXNE4O","2021-05-04 11:25:50","spend","","currency","USDT",-195.11610000,2.92600000,0.00000000
"LIX2DK-7JHDV-LE4QYU","TSN3OIN-WGMKR-FXNE4O","2021-05-04 11:25:50","receive","","currency","DOGE",400.77000000,0,906.54709483
"LCYJ2I-PNFL7-HAIL5I","TSV6CY5-EVPRJ-U7NJUB","2021-05-04 15:41:24","spend","","currency","DOGE",-906.54000000,0,0.00709483
"LNJWG4-Y27RF-5R5N4R","TSV6CY5-EVPRJ-U7NJUB","2021-05-04 15:41:24","receive","","currency","USDT",481.91660000,7.12200000,474.79460000
"LK3MHP-X455T-KKYCDA","T35TVY-Q2J7I-WWYO4M","2021-05-05 10:18:46","trade","tradespot","currency","USDT",-473.56333533,1.23126467,0.00000000
"LVWMGK-EJQNR-BJQHPO","T35TVY-Q2J7I-WWYO4M","2021-05-05 10:18:46","trade","tradespot","currency","DOGE",703.70205559,0.00000001,703.70915041
"L2GXVX-I6KA4-AMFI4K","STMPN76-QKDMK-3CYRDL","2021-05-06 02:04:36","staking","","currency","XTZ.S",0.01669600,0,36.97686200
"LWSCEJ-PYDJN-WROGHS","STJFKAB-E5YTP-MRFZJ3","2021-05-09 01:57:17","staking","","currency","ETH2",0.0000224900,0,0.0002801080
"LKG2QM-4HYQA-RCFLJF","ST2PSJ3-444FB-SJHLCR","2021-05-10 02:06:39","staking","","currency","XTZ.S",0.02227200,0,36.99913400
"L7FF5A-YJ6XC-CSVMX4","ST6XSCU-IIFEV-4QB6WJ","2021-05-13 02:07:21","staking","","currency","XTZ.S",0.01671300,0,37.01584700
"LZZJYQ-RONJA-HBG4M3","STFWSFR-C6HIA-5GJZXT","2021-05-16 01:58:03","staking","","currency","ETH2",0.0000217990,0,0.0003019070
"LNSQL5-CJ7W4-IVTYMO","STE7TBN-22KBW-R4WFLC","2021-05-17 02:06:46","staking","","currency","XTZ.S",0.02229500,0,37.03814200
"LS5LKV-ASQCE-6TD32K","STO35ZY-5XTXT-LXU6TH","2021-05-20 02:02:29","staking","","currency","XTZ.S",0.01673100,0,37.05487300
"LEUQCZ-KS5RI-VJGULL","STECZZX-KRILE-THS2JW","2021-05-23 01:59:07","staking","","currency","ETH2",0.0000211950,0,0.0003231020
"LTMZLC-7CUT7-YNML7P","STPDRS5-L3RPY-TBNBYA","2021-05-24 02:02:36","staking","","currency","XTZ.S",0.02231900,0,37.07719200
"LGWB27-5NF6X-6NRL6L","STNTDFP-IKKLN-JTYHTW","2021-05-27 02:07:19","staking","","currency","XTZ.S",0.01674900,0,37.09394100
"LRJU4V-JPFYK-VBXJHF","ST6BPWP-UPFMF-ELSXC3","2021-05-30 01:55:31","staking","","currency","ETH2",0.0000208760,0,0.0003439780
"LQB6TB-CCOEO-6Z5JIQ","STBURMI-B7L66-MGALD6","2021-05-31 02:06:34","staking","","currency","XTZ.S",0.02234200,0,37.11628300
"L2HBDQ-SLK6K-MTGOCG","ST7Z4AD-HX2IZ-V6P57J","2021-06-03 02:08:18","staking","","currency","XTZ.S",0.01676700,0,37.13305000
"LSBM7G-7WIPQ-QGLN7Z","FTa1hcM-dr74Rxx4dwXwjvnyR5rtAJ","2021-06-04 13:50:01","deposit","","currency","EUR.HOLD",1137.5100,42.9100,1094.6000
"L6ILBB-G4ZT3-Y6HY4P","TSHFSWO-R62KB-FT5UAC","2021-06-04 13:50:02","spend","","currency","EUR.HOLD",-1078.4200,16.1800,0.0000
"LIEYLM-WNWKS-W2TUJM","TSHFSWO-R62KB-FT5UAC","2021-06-04 13:50:02","receive","","currency","XRP",1372.00000000,0,1372.00000000
"LHNKFI-ZRNWS-BS3MR5","FTW1K6U-J0VbFrjwAozfi97ZRMNRca","2021-06-05 09:18:00","withdrawal","","currency","XRP",-1371.98000000,0.02000000,0.00000000
"LZE5W7-32XFI-IQDIXM","STCIFMA-4D6FZ-TOIWYO","2021-06-06 01:55:45","staking","","currency","ETH2",0.0000205160,0,0.0003644940
"LPSZF3-XWTZC-IMNNGL","ST4I3DX-RKOYA-W6P5PT","2021-06-07 02:08:34","staking","","currency","XTZ.S",0.02236600,0,37.15541600
"LJWKGS-4R3IP-XRJEHC","STARH3F-IBWQT-IEAOC6","2021-06-10 02:08:33","staking","","currency","XTZ.S",0.01678400,0,37.17220000
"LVZSZS-OIAY7-MRBMQM","STLVSSN-5QQ5J-CTM3HY","2021-06-13 01:56:01","staking","","currency","ETH2",0.0000201790,0,0.0003846730
"LCT5TT-4OGJD-AJ54GC","STNEBTL-OHHQZ-SFOXNP","2021-06-14 02:09:33","staking","","currency","XTZ.S",0.02238900,0,37.19458900
"LPUM4W-SL6O2-IKR53W","STMGSYF-WUYS5-UMQRNF","2021-06-17 02:09:22","staking","","currency","XTZ.S",0.01680200,0,37.21139100
"LTDNWT-4KEF5-EDOI42","STR5Z7K-TLRVI-MKGLV4","2021-06-20 01:55:58","staking","","currency","ETH2",0.0000198030,0,0.0004044760
"LLNZ6M-PSTFZ-RRPCBU","STY4JOO-QPYLC-CPF4GB","2021-06-21 02:09:34","staking","","currency","XTZ.S",0.02241300,0,37.23380400
"LMIDYD-SM3U4-W3QN7S","FTdqMJE-tblBCMWjAkJEYB0XjZ2ms5","2021-06-21 12:19:56","deposit","","currency","EUR.HOLD",2000.0000,75.2500,1924.7500
"L663EW-ABHKQ-W2HRLC","TSJMNTP-5IVXG-GWTA5V","2021-06-21 12:19:56","spend","","currency","EUR.HOLD",-1896.3100,28.4400,0.0000
"LZSD4G-G5O3G-RKFOMK","TSJMNTP-5IVXG-GWTA5V","2021-06-21 12:19:56","receive","","currency","XRP",3359.95573000,0,3359.95573000
"LIORNR-ADORU-M44A4Q","FTCr5gj-vkS5JUr22N1FhLjoJMOxJK","2021-06-22 04:34:42","withdrawal","","currency","XRP",-3359.93573000,0.02000000,0.00000000
"LRYJXU-UHWHM-ISPP4T","STFOX5E-SU62Q-HJTTJZ","2021-06-24 02:08:12","staking","","currency","XTZ.S",0.01682000,0,37.25062400
"LHEFGS-JH4XI-RRWQO6","STAE5M4-NRJQG-7Y6KAM","2021-06-27 01:55:50","staking","","currency","ETH2",0.0000194940,0,0.0004239700
"L3CSKW-OFUIO-WALBSV","STTP3OI-LRDKJ-QKMTVK","2021-06-28 02:10:12","staking","","currency","XTZ.S",0.02243600,0,37.27306000
"LX24MJ-VOUPK-ZGAIMG","STHOEIV-BDYEV-UTOLGY","2021-07-01 02:13:44","staking","","currency","XTZ.S",0.01683700,0,37.28989700
"LW2IK7-JNQKG-GX5WUJ","ST7PKQG-O3RVC-I4RXHQ","2021-07-04 01:56:47","staking","","currency","ETH2",0.0000191450,0,0.0004431150
"LUDPUM-RH4YG-OHT55Q","STDXC7Y-55WMG-MUUE7V","2021-07-05 02:13:10","staking","","currency","XTZ.S",0.02246000,0,37.31235700
"LIG3ZD-ZTCFZ-FOZXPX","STHGCC2-LFHLD-6KXVKI","2021-07-08 02:13:24","staking","","currency","XTZ.S",0.01685500,0,37.32921200
"LDQ74A-EKBFO-TMVSJP","STLCKEK-2GJYO-VQ7TFS","2021-07-11 01:57:55","staking","","currency","ETH2",0.0000187790,0,0.0004618940
"LHKBXR-SBG2L-D3GFSS","STEITXR-QA2G5-4UQJ2U","2021-07-12 02:14:18","staking","","currency","XTZ.S",0.02248400,0,37.35169600
"LWQ5K6-AQDDX-QOJMOT","STKRCER-GWVDV-EJBUOP","2021-07-15 02:15:00","staking","","currency","XTZ.S",0.01687300,0,37.36856900
"LTGY3Q-WCXRM-FDDOPI","STFRGW5-3F5OV-D72NSE","2021-07-18 01:58:14","staking","","currency","ETH2",0.0000184570,0,0.0004803510
"LGHYPC-7SS4L-OSURQ5","ST5QAER-QRBQW-4PCOJM","2021-07-19 02:15:28","staking","","currency","XTZ.S",0.02250800,0,37.39107700
"L77ZAB-JR3BS-2CZXMT","STLC32Z-SUDNI-TDGAX4","2021-07-22 02:14:16","staking","","currency","XTZ.S",0.01689100,0,37.40796800
"LP6XLK-2KXWM-PGK6Y6","STRRQ3E-PTJQ6-AIKDV6","2021-07-25 02:01:14","staking","","currency","ETH2",0.0000181430,0,0.0004984940
"LEL4XN-PFFLF-ZYSNSB","STF7UDW-VZFEG-6EREJL","2021-07-26 02:15:25","staking","","currency","XTZ.S",0.02253100,0,37.43049900
"LSV5T7-USAPH-5MINUH","STU25GQ-UI3C2-NQS7VT","2021-07-29 02:14:02","staking","","currency","XTZ.S",0.01690800,0,37.44740700
"LPNLD5-WKABL-K6WSQF","STDKLV6-ZVEMS-NYX3W3","2021-08-01 02:00:04","staking","","currency","ETH2",0.0000179520,0,0.0005164460
"LHKZOD-VHSD2-OMVF5N","STSNMDD-NZUJR-436MQI","2021-08-02 02:14:02","staking","","currency","XTZ.S",0.02255500,0,37.46996200
